Metric,Value
design__max_fanout_violation__count__corner:max_tt_025C_1v80,4
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.25267580409847723
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.25406344414062576
timing__hold__ws__corner:max_tt_025C_1v80,0.3266915164192553
timing__setup__ws__corner:max_tt_025C_1v80,4.8268621577029664
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.326692
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,3
design__max_fanout_violation__count__corner:max_ss_100C_1v60,4
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.25355965267337827
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.25503702649402993
timing__hold__ws__corner:max_ss_100C_1v60,0.9129476322217372
timing__setup__ws__corner:max_ss_100C_1v60,1.2491954491068755
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.912948
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,4.070984
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,4
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.25228547742755547
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2535696724364589
timing__hold__ws__corner:max_ff_n40C_1v95,0.12834039749760165
timing__setup__ws__corner:max_ff_n40C_1v95,6.005847100746858
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.128340
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,3
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79932
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79986
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000680701
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000596164
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000119002
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000596164
design_powergrid__voltage__worst,0.000596164
design_powergrid__voltage__worst__net:VPWR,1.79932
design_powergrid__drop__worst,0.000680701
design_powergrid__drop__worst__net:VPWR,0.000680701
design_powergrid__voltage__worst__net:VGND,0.000596164
design_powergrid__drop__worst__net:VGND,0.000596164
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000143000000000000006446232436729815162834711372852325439453125
ir__drop__worst,0.00068099999999999996473654118034346538479439914226531982421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
